sheet,axis,boundary_index,position,total_pixels,nontransparent_pixels,line_like_pixels,dominant_bucket,dominant_count,nontransparent_ratio,line_like_ratio,dominant_total_ratio,dominant_line_like_ratio,erase
敌人单位17-32透明背景.png,column,0,0,1254,1254,1024,9:0:0:0,929,1.0000,0.8166,0.7408,0.9072,true
敌人单位17-32透明背景.png,column,0,1,1254,1254,1046,2:0:0:0,543,1.0000,0.8341,0.4330,0.5191,true
敌人单位17-32透明背景.png,column,0,2,1254,15,13,9:0:0:0,2,0.0120,0.0104,0.0016,0.1538,false
敌人单位17-32透明背景.png,column,0,3,1254,16,13,9:0:0:0,2,0.0128,0.0104,0.0016,0.1538,false
敌人单位17-32透明背景.png,column,0,4,1254,15,13,9:0:0:0,2,0.0120,0.0104,0.0016,0.1538,false
敌人单位17-32透明背景.png,column,0,5,1254,16,16,9:0:0:0,2,0.0128,0.0128,0.0016,0.1250,false
敌人单位17-32透明背景.png,column,0,6,1254,18,14,9:0:0:0,2,0.0144,0.0112,0.0016,0.1429,false
敌人单位17-32透明背景.png,column,0,7,1254,18,16,9:0:0:0,2,0.0144,0.0128,0.0016,0.1250,false
敌人单位17-32透明背景.png,column,0,8,1254,23,16,9:0:0:0,2,0.0183,0.0128,0.0016,0.1250,false
敌人单位17-32透明背景.png,column,0,9,1254,24,13,9:0:0:0,2,0.0191,0.0104,0.0016,0.1538,false
敌人单位17-32透明背景.png,column,0,10,1254,26,16,15:0:0:0,3,0.0207,0.0128,0.0024,0.1875,false
敌人单位17-32透明背景.png,column,0,11,1254,26,14,9:0:0:0,2,0.0207,0.0112,0.0016,0.1429,false
敌人单位17-32透明背景.png,column,0,12,1254,29,18,9:0:0:0,2,0.0231,0.0144,0.0016,0.1111,false
敌人单位17-32透明背景.png,column,0,13,1254,32,17,1:10:10:10,2,0.0255,0.0136,0.0016,0.1176,false
敌人单位17-32透明背景.png,column,0,14,1254,36,19,5:0:0:0,3,0.0287,0.0152,0.0024,0.1579,false
敌人单位17-32透明背景.png,column,0,15,1254,37,20,9:0:0:0,3,0.0295,0.0159,0.0024,0.1500,false
敌人单位17-32透明背景.png,column,0,16,1254,38,20,9:0:0:0,2,0.0303,0.0159,0.0016,0.1000,false
敌人单位17-32透明背景.png,column,1,298,1254,14,13,9:0:0:0,2,0.0112,0.0104,0.0016,0.1538,false
敌人单位17-32透明背景.png,column,1,299,1254,15,15,9:0:0:0,2,0.0120,0.0120,0.0016,0.1333,false
敌人单位17-32透明背景.png,column,1,300,1254,15,13,9:0:0:0,2,0.0120,0.0104,0.0016,0.1538,false
敌人单位17-32透明背景.png,column,1,301,1254,15,15,1:10:10:10,2,0.0120,0.0120,0.0016,0.1333,false
敌人单位17-32透明背景.png,column,1,302,1254,15,14,1:10:10:10,2,0.0120,0.0112,0.0016,0.1429,false
