sheet,axis,boundary_index,position,total_pixels,nontransparent_pixels,line_like_pixels,dominant_bucket,dominant_count,nontransparent_ratio,line_like_ratio,dominant_total_ratio,dominant_line_like_ratio,erase
玩家单位17-32透明背景.png,column,0,0,1254,1253,1253,2:10:10:10,1214,0.9992,0.9992,0.9681,0.9689,true
玩家单位17-32透明背景.png,column,0,1,1254,1253,1253,2:10:10:10,1233,0.9992,0.9992,0.9833,0.9840,true
玩家单位17-32透明背景.png,column,0,2,1254,1253,1253,2:8:8:8,1159,0.9992,0.9992,0.9242,0.9250,true
玩家单位17-32透明背景.png,column,0,3,1254,1253,1253,2:4:4:4,1137,0.9992,0.9992,0.9067,0.9074,true
玩家单位17-32透明背景.png,column,0,4,1254,1253,881,1:0:0:0,858,0.9992,0.7026,0.6842,0.9739,true
玩家单位17-32透明背景.png,column,0,5,1254,20,19,3:6:6:6,5,0.0159,0.0152,0.0040,0.2632,false
玩家单位17-32透明背景.png,column,0,6,1254,20,18,3:6:6:6,5,0.0159,0.0144,0.0040,0.2778,false
玩家单位17-32透明背景.png,column,0,7,1254,20,19,3:6:6:6,5,0.0159,0.0152,0.0040,0.2632,false
玩家单位17-32透明背景.png,column,0,8,1254,20,19,3:6:6:6,5,0.0159,0.0152,0.0040,0.2632,false
玩家单位17-32透明背景.png,column,0,9,1254,20,20,3:6:6:6,5,0.0159,0.0159,0.0040,0.2500,false
玩家单位17-32透明背景.png,column,0,10,1254,20,20,3:6:6:6,4,0.0159,0.0159,0.0032,0.2000,false
玩家单位17-32透明背景.png,column,0,11,1254,20,19,3:6:6:6,4,0.0159,0.0152,0.0032,0.2105,false
玩家单位17-32透明背景.png,column,0,12,1254,20,19,3:6:6:6,4,0.0159,0.0152,0.0032,0.2105,false
玩家单位17-32透明背景.png,column,0,13,1254,20,19,3:6:6:6,4,0.0159,0.0152,0.0032,0.2105,false
玩家单位17-32透明背景.png,column,0,14,1254,20,19,3:6:6:6,4,0.0159,0.0152,0.0032,0.2105,false
玩家单位17-32透明背景.png,column,0,15,1254,20,18,3:6:6:6,4,0.0159,0.0144,0.0032,0.2222,false
玩家单位17-32透明背景.png,column,0,16,1254,20,18,3:6:6:6,4,0.0159,0.0144,0.0032,0.2222,false
玩家单位17-32透明背景.png,column,1,298,1254,20,20,3:6:6:6,4,0.0159,0.0159,0.0032,0.2000,false
玩家单位17-32透明背景.png,column,1,299,1254,20,20,3:6:6:6,4,0.0159,0.0159,0.0032,0.2000,false
玩家单位17-32透明背景.png,column,1,300,1254,20,19,3:6:6:6,4,0.0159,0.0152,0.0032,0.2105,false
玩家单位17-32透明背景.png,column,1,301,1254,21,20,3:6:6:6,4,0.0167,0.0159,0.0032,0.2000,false
玩家单位17-32透明背景.png,column,1,302,1254,21,21,3:6:6:6,4,0.0167,0.0167,0.0032,0.1905,false
玩家单位17-32透明背景.png,column,1,303,1254,21,20,3:6:6:6,4,0.0167,0.0159,0.0032,0.2000,false
玩家单位17-32透明背景.png,column,1,304,1254,21,21,3:6:6:6,3,0.0167,0.0167,0.0024,0.1429,false
玩家单位17-32透明背景.png,column,1,305,1254,21,21,3:6:6:6,3,0.0167,0.0167,0.0024,0.1429,false
玩家单位17-32透明背景.png,column,1,306,1254,21,20,3:6:6:6,3,0.0167,0.0159,0.0024,0.1500,false
玩家单位17-32透明背景.png,column,1,307,1254,20,19,3:6:6:6,3,0.0159,0.0152,0.0024,0.1579,false
玩家单位17-32透明背景.png,column,1,308,1254,19,18,2:7:7:7,3,0.0152,0.0144,0.0024,0.1667,false
玩家单位17-32透明背景.png,column,1,309,1254,19,18,2:10:10:10,2,0.0152,0.0144,0.0016,0.1111,false
玩家单位17-32透明背景.png,column,1,310,1254,19,18,2:10:10:10,2,0.0152,0.0144,0.0016,0.1111,false
玩家单位17-32透明背景.png,column,1,311,1254,17,17,2:10:10:10,2,0.0136,0.0136,0.0016,0.1176,false
玩家单位17-32透明背景.png,column,1,312,1254,1245,1245,1:5:5:5,611,0.9928,0.9928,0.4872,0.4908,true
玩家单位17-32透明背景.png,column,1,313,1254,1253,1253,3:5:5:5,1164,0.9992,0.9992,0.9282,0.9290,true
玩家单位17-32透明背景.png,column,1,314,1254,1253,1253,3:6:6:6,964,0.9992,0.9992,0.7687,0.7694,true
玩家单位17-32透明背景.png,column,1,315,1254,1253,1253,1:8:8:8,766,0.9992,0.9992,0.6108,0.6113,true
玩家单位17-32透明背景.png,column,1,316,1254,18,18,2:7:7:7,3,0.0144,0.0144,0.0024,0.1667,false
玩家单位17-32透明背景.png,column,1,317,1254,19,19,2:7:7:7,3,0.0152,0.0152,0.0024,0.1579,false
玩家单位17-32透明背景.png,column,1,318,1254,19,19,2:7:7:7,3,0.0152,0.0152,0.0024,0.1579,false
玩家单位17-32透明背景.png,column,1,319,1254,19,19,2:10:10:10,2,0.0152,0.0152,0.0016,0.1053,false
玩家单位17-32透明背景.png,column,1,320,1254,20,20,3:7:7:7,3,0.0159,0.0159,0.0024,0.1500,false
玩家单位17-32透明背景.png,column,1,321,1254,20,20,2:10:10:10,2,0.0159,0.0159,0.0016,0.1000,false
玩家单位17-32透明背景.png,column,1,322,1254,21,21,2:10:10:10,2,0.0167,0.0167,0.0016,0.0952,false
玩家单位17-32透明背景.png,column,1,323,1254,21,21,2:10:10:10,2,0.0167,0.0167,0.0016,0.0952,false
玩家单位17-32透明背景.png,column,1,324,1254,21,21,3:6:6:6,3,0.0167,0.0167,0.0024,0.1429,false
玩家单位17-32透明背景.png,column,1,325,1254,21,21,2:10:10:10,2,0.0167,0.0167,0.0016,0.0952,false
玩家单位17-32透明背景.png,column,1,326,1254,20,20,2:10:10:10,2,0.0159,0.0159,0.0016,0.1000,false
玩家单位17-32透明背景.png,column,1,327,1254,20,20,3:6:6:6,3,0.0159,0.0159,0.0024,0.1500,false
玩家单位17-32透明背景.png,column,1,328,1254,23,20,3:6:6:6,4,0.0183,0.0159,0.0032,0.2000,false
玩家单位17-32透明背景.png,column,1,329,1254,23,20,3:6:6:6,4,0.0183,0.0159,0.0032,0.2000,false
玩家单位17-32透明背景.png,column,1,330,1254,23,20,3:6:6:6,4,0.0183,0.0159,0.0032,0.2000,false
玩家单位17-32透明背景.png,column,2,611,1254,20,20,3:6:6:6,4,0.0159,0.0159,0.0032,0.2000,false
玩家单位17-32透明背景.png,column,2,612,1254,20,20,3:6:6:6,4,0.0159,0.0159,0.0032,0.2000,false
玩家单位17-32透明背景.png,column,2,613,1254,20,20,2:4:4:4,2,0.0159,0.0159,0.0016,0.1000,false
玩家单位17-32透明背景.png,column,2,614,1254,20,20,3:6:6:6,3,0.0159,0.0159,0.0024,0.1500,false
玩家单位17-32透明背景.png,column,2,615,1254,21,21,2:7:7:7,2,0.0167,0.0167,0.0016,0.0952,false
玩家单位17-32透明背景.png,column,2,616,1254,21,21,2:7:7:7,2,0.0167,0.0167,0.0016,0.0952,false
玩家单位17-32透明背景.png,column,2,617,1254,21,20,2:10:10:10,2,0.0167,0.0159,0.0016,0.1000,false
玩家单位17-32透明背景.png,column,2,618,1254,21,21,3:6:6:6,4,0.0167,0.0167,0.0032,0.1905,false
玩家单位17-32透明背景.png,column,2,619,1254,20,20,3:6:6:6,3,0.0159,0.0159,0.0024,0.1500,false
玩家单位17-32透明背景.png,column,2,620,1254,20,19,3:6:6:6,4,0.0159,0.0152,0.0032,0.2105,false
玩家单位17-32透明背景.png,column,2,621,1254,20,19,2:10:10:10,2,0.0159,0.0152,0.0016,0.1053,false
玩家单位17-32透明背景.png,column,2,622,1254,20,20,2:10:10:10,2,0.0159,0.0159,0.0016,0.1000,false
玩家单位17-32透明背景.png,column,2,623,1254,20,19,3:7:7:7,3,0.0159,0.0152,0.0024,0.1579,false
玩家单位17-32透明背景.png,column,2,624,1254,20,20,2:7:7:7,2,0.0159,0.0159,0.0016,0.1000,false
玩家单位17-32透明背景.png,column,2,625,1254,1253,1253,1:9:9:9,818,0.9992,0.9992,0.6523,0.6528,true
玩家单位17-32透明背景.png,column,2,626,1254,1253,1253,3:6:6:6,1191,0.9992,0.9992,0.9498,0.9505,true
玩家单位17-32透明背景.png,column,2,627,1254,1253,1253,3:6:6:6,942,0.9992,0.9992,0.7512,0.7518,true
玩家单位17-32透明背景.png,column,2,628,1254,42,41,0:6:6:6,10,0.0335,0.0327,0.0080,0.2439,false
玩家单位17-32透明背景.png,column,2,629,1254,20,20,3:7:7:7,3,0.0159,0.0159,0.0024,0.1500,false
玩家单位17-32透明背景.png,column,2,630,1254,20,20,3:6:6:6,3,0.0159,0.0159,0.0024,0.1500,false
玩家单位17-32透明背景.png,column,2,631,1254,20,20,3:6:6:6,3,0.0159,0.0159,0.0024,0.1500,false
玩家单位17-32透明背景.png,column,2,632,1254,20,20,3:6:6:6,4,0.0159,0.0159,0.0032,0.2000,false
玩家单位17-32透明背景.png,column,2,633,1254,20,19,2:10:10:10,2,0.0159,0.0152,0.0016,0.1053,false
玩家单位17-32透明背景.png,column,2,634,1254,20,20,2:10:10:10,2,0.0159,0.0159,0.0016,0.1000,false
玩家单位17-32透明背景.png,column,2,635,1254,21,21,2:10:10:10,2,0.0167,0.0167,0.0016,0.0952,false
玩家单位17-32透明背景.png,column,2,636,1254,21,21,2:10:10:10,2,0.0167,0.0167,0.0016,0.0952,false
玩家单位17-32透明背景.png,column,2,637,1254,21,21,2:10:10:10,2,0.0167,0.0167,0.0016,0.0952,false
玩家单位17-32透明背景.png,column,2,638,1254,20,20,3:6:6:6,3,0.0159,0.0159,0.0024,0.1500,false
玩家单位17-32透明背景.png,column,2,639,1254,20,20,3:6:6:6,3,0.0159,0.0159,0.0024,0.1500,false
玩家单位17-32透明背景.png,column,2,640,1254,20,20,3:6:6:6,3,0.0159,0.0159,0.0024,0.1500,false
玩家单位17-32透明背景.png,column,2,641,1254,30,30,0:5:5:4,4,0.0239,0.0239,0.0032,0.1333,false
玩家单位17-32透明背景.png,column,2,642,1254,29,28,1:10:10:10,6,0.0231,0.0223,0.0048,0.2143,false
玩家单位17-32透明背景.png,column,2,643,1254,34,19,3:6:6:6,4,0.0271,0.0152,0.0032,0.2105,false
玩家单位17-32透明背景.png,column,3,924,1254,20,19,3:6:6:6,3,0.0159,0.0152,0.0024,0.1579,false
玩家单位17-32透明背景.png,column,3,925,1254,20,20,3:6:6:6,3,0.0159,0.0159,0.0024,0.1500,false
玩家单位17-32透明背景.png,column,3,926,1254,20,19,3:6:6:6,3,0.0159,0.0152,0.0024,0.1579,false
玩家单位17-32透明背景.png,column,3,927,1254,20,20,2:10:10:10,2,0.0159,0.0159,0.0016,0.1000,false
玩家单位17-32透明背景.png,column,3,928,1254,21,19,2:10:10:10,2,0.0167,0.0152,0.0016,0.1053,false
玩家单位17-32透明背景.png,column,3,929,1254,21,19,2:10:10:10,2,0.0167,0.0152,0.0016,0.1053,false
