index,name,source_sheet,source_col,source_row,x0,y0,x1,y1,output
1,prism_weaver,玩家单位17-32透明背景.png,1,1,0,0,314,314,assets/processed/player_units/prism_weaver.png
2,mage,玩家单位17-32透明背景.png,2,1,314,0,627,314,assets/processed/player_units/mage.png
3,alchemist,玩家单位17-32透明背景.png,3,1,627,0,940,314,assets/processed/player_units/alchemist.png
4,bomb_thrower,玩家单位17-32透明背景.png,4,1,940,0,1254,314,assets/processed/player_units/bomb_thrower.png
5,priest,玩家单位17-32透明背景.png,1,2,0,314,314,627,assets/processed/player_units/priest.png
6,plague_caster,玩家单位17-32透明背景.png,2,2,314,314,627,627,assets/processed/player_units/plague_caster.png
7,cleric,玩家单位17-32透明背景.png,3,2,627,314,940,627,assets/processed/player_units/cleric.png
8,soul_binder,玩家单位17-32透明背景.png,4,2,940,314,1254,627,assets/processed/player_units/soul_binder.png
9,vine_binder,玩家单位17-32透明背景.png,1,3,0,627,314,940,assets/processed/player_units/vine_binder.png
10,bloodbound_berserker,玩家单位17-32透明背景.png,2,3,314,627,627,940,assets/processed/player_units/bloodbound_berserker.png
11,tank,玩家单位17-32透明背景.png,3,3,627,627,940,940,assets/processed/player_units/tank.png
12,thundermaul_vanguard,玩家单位17-32透明背景.png,4,3,940,627,1254,940,assets/processed/player_units/thundermaul_vanguard.png
13,frost_sentry,玩家单位17-32透明背景.png,1,4,0,940,314,1254,assets/processed/player_units/frost_sentry.png
14,wind_chanter,玩家单位17-32透明背景.png,2,4,314,940,627,1254,assets/processed/player_units/wind_chanter.png
15,bone_acolyte,玩家单位17-32透明背景.png,3,4,627,940,940,1254,assets/processed/player_units/bone_acolyte.png
16,grave_warden,玩家单位17-32透明背景.png,4,4,940,940,1254,1254,assets/processed/player_units/grave_warden.png
