sheet,axis,boundary_index,position,total_pixels,nontransparent_pixels,line_like_pixels,dominant_bucket,dominant_count,nontransparent_ratio,line_like_ratio,dominant_total_ratio,dominant_line_like_ratio,erase
玩家单位1-16黑色背景.png,column,0,0,1254,0,0,,0,0.0000,0.0000,0.0000,0.0000,false
玩家单位1-16黑色背景.png,column,0,1,1254,0,0,,0,0.0000,0.0000,0.0000,0.0000,false
玩家单位1-16黑色背景.png,column,0,2,1254,0,0,,0,0.0000,0.0000,0.0000,0.0000,false
玩家单位1-16黑色背景.png,column,0,3,1254,0,0,,0,0.0000,0.0000,0.0000,0.0000,false
玩家单位1-16黑色背景.png,column,0,4,1254,0,0,,0,0.0000,0.0000,0.0000,0.0000,false
玩家单位1-16黑色背景.png,column,0,5,1254,1242,1239,1:5:4:4,564,0.9904,0.9880,0.4498,0.4552,true
玩家单位1-16黑色背景.png,column,0,6,1254,1244,1244,5:6:6:5,653,0.9920,0.9920,0.5207,0.5249,true
玩家单位1-16黑色背景.png,column,0,7,1254,1244,1244,4:7:7:7,705,0.9920,0.9920,0.5622,0.5667,true
玩家单位1-16黑色背景.png,column,0,8,1254,1243,1243,1:10:10:10,811,0.9912,0.9912,0.6467,0.6525,true
玩家单位1-16黑色背景.png,column,0,9,1254,18,18,2:9:9:9,2,0.0144,0.0144,0.0016,0.1111,false
玩家单位1-16黑色背景.png,column,0,10,1254,18,18,5:7:6:6,2,0.0144,0.0144,0.0016,0.1111,false
玩家单位1-16黑色背景.png,column,0,11,1254,18,18,2:7:6:6,2,0.0144,0.0144,0.0016,0.1111,false
玩家单位1-16黑色背景.png,column,0,12,1254,19,19,2:7:6:6,2,0.0152,0.0152,0.0016,0.1053,false
玩家单位1-16黑色背景.png,column,0,13,1254,18,18,5:6:6:5,2,0.0144,0.0144,0.0016,0.1111,false
玩家单位1-16黑色背景.png,column,0,14,1254,18,18,2:9:8:8,2,0.0144,0.0144,0.0016,0.1111,false
玩家单位1-16黑色背景.png,column,0,15,1254,18,18,1:4:3:4,1,0.0144,0.0144,0.0008,0.0556,false
玩家单位1-16黑色背景.png,column,0,16,1254,18,18,1:4:3:4,1,0.0144,0.0144,0.0008,0.0556,false
玩家单位1-16黑色背景.png,column,1,298,1254,19,19,5:7:6:6,2,0.0152,0.0152,0.0016,0.1053,false
玩家单位1-16黑色背景.png,column,1,299,1254,20,20,0:3:3:3,1,0.0159,0.0159,0.0008,0.0500,false
