index,unit_id,dark_sheet,light_sheet,source_cell,output
1,necromancer,玩家单位1-16黑色背景.png,玩家单位1-16白色背景.png,1,C:\Users\shibohao\auto-battler\assets\processed\player_units\necromancer.png
2,puppet_warlock,玩家单位1-16黑色背景.png,玩家单位1-16白色背景.png,2,C:\Users\shibohao\auto-battler\assets\processed\player_units\puppet_warlock.png
3,frost_prism_mage,玩家单位1-16黑色背景.png,玩家单位1-16白色背景.png,3,C:\Users\shibohao\auto-battler\assets\processed\player_units\frost_prism_mage.png
4,assassin,玩家单位1-16黑色背景.png,玩家单位1-16白色背景.png,4,C:\Users\shibohao\auto-battler\assets\processed\player_units\assassin.png
5,venom_matriarch,玩家单位1-16黑色背景.png,玩家单位1-16白色背景.png,5,C:\Users\shibohao\auto-battler\assets\processed\player_units\venom_matriarch.png
6,bard,玩家单位1-16黑色背景.png,玩家单位1-16白色背景.png,6,C:\Users\shibohao\auto-battler\assets\processed\player_units\bard.png
7,nightblade_captain,玩家单位1-16黑色背景.png,玩家单位1-16白色背景.png,7,C:\Users\shibohao\auto-battler\assets\processed\player_units\nightblade_captain.png
8,arcane_artillerist,玩家单位1-16黑色背景.png,玩家单位1-16白色背景.png,8,C:\Users\shibohao\auto-battler\assets\processed\player_units\arcane_artillerist.png
9,guardian_captain,玩家单位1-16黑色背景.png,玩家单位1-16白色背景.png,9,C:\Users\shibohao\auto-battler\assets\processed\player_units\guardian_captain.png
10,greatsword_knight,玩家单位1-16黑色背景.png,玩家单位1-16白色背景.png,10,C:\Users\shibohao\auto-battler\assets\processed\player_units\greatsword_knight.png
11,archer,玩家单位1-16黑色背景.png,玩家单位1-16白色背景.png,11,C:\Users\shibohao\auto-battler\assets\processed\player_units\archer.png
12,warrior,玩家单位1-16黑色背景.png,玩家单位1-16白色背景.png,12,C:\Users\shibohao\auto-battler\assets\processed\player_units\warrior.png
13,taunt_banneret,玩家单位1-16黑色背景.png,玩家单位1-16白色背景.png,13,C:\Users\shibohao\auto-battler\assets\processed\player_units\taunt_banneret.png
14,starforged_vanguard,玩家单位1-16黑色背景.png,玩家单位1-16白色背景.png,14,C:\Users\shibohao\auto-battler\assets\processed\player_units\starforged_vanguard.png
15,dawnbell_saint,玩家单位1-16黑色背景.png,玩家单位1-16白色背景.png,15,C:\Users\shibohao\auto-battler\assets\processed\player_units\dawnbell_saint.png
16,forest_druid,玩家单位1-16黑色背景.png,玩家单位1-16白色背景.png,16,C:\Users\shibohao\auto-battler\assets\processed\player_units\forest_druid.png
17,prism_weaver,玩家单位17-30黑色背景.png,玩家单位17-30白色背景.png,1,C:\Users\shibohao\auto-battler\assets\processed\player_units\prism_weaver.png
18,mage,玩家单位17-30黑色背景.png,玩家单位17-30白色背景.png,2,C:\Users\shibohao\auto-battler\assets\processed\player_units\mage.png
19,alchemist,玩家单位17-30黑色背景.png,玩家单位17-30白色背景.png,3,C:\Users\shibohao\auto-battler\assets\processed\player_units\alchemist.png
20,bomb_thrower,玩家单位17-30黑色背景.png,玩家单位17-30白色背景.png,4,C:\Users\shibohao\auto-battler\assets\processed\player_units\bomb_thrower.png
21,priest,玩家单位17-30黑色背景.png,玩家单位17-30白色背景.png,5,C:\Users\shibohao\auto-battler\assets\processed\player_units\priest.png
22,plague_caster,玩家单位17-30黑色背景.png,玩家单位17-30白色背景.png,6,C:\Users\shibohao\auto-battler\assets\processed\player_units\plague_caster.png
23,cleric,玩家单位17-30黑色背景.png,玩家单位17-30白色背景.png,7,C:\Users\shibohao\auto-battler\assets\processed\player_units\cleric.png
24,soul_binder,玩家单位17-30黑色背景.png,玩家单位17-30白色背景.png,8,C:\Users\shibohao\auto-battler\assets\processed\player_units\soul_binder.png
25,vine_binder,玩家单位17-30黑色背景.png,玩家单位17-30白色背景.png,9,C:\Users\shibohao\auto-battler\assets\processed\player_units\vine_binder.png
26,bloodbound_berserker,玩家单位17-30黑色背景.png,玩家单位17-30白色背景.png,10,C:\Users\shibohao\auto-battler\assets\processed\player_units\bloodbound_berserker.png
27,tank,玩家单位17-30黑色背景.png,玩家单位17-30白色背景.png,11,C:\Users\shibohao\auto-battler\assets\processed\player_units\tank.png
28,thundermaul_vanguard,玩家单位17-30黑色背景.png,玩家单位17-30白色背景.png,12,C:\Users\shibohao\auto-battler\assets\processed\player_units\thundermaul_vanguard.png
29,frost_sentry,玩家单位17-30黑色背景.png,玩家单位17-30白色背景.png,13,C:\Users\shibohao\auto-battler\assets\processed\player_units\frost_sentry.png
30,wind_chanter,玩家单位17-30黑色背景.png,玩家单位17-30白色背景.png,14,C:\Users\shibohao\auto-battler\assets\processed\player_units\wind_chanter.png
