index,relic_id,dark_sheet,light_sheet,source_cell
1,crown_of_three,遗物1-16.png,遗物1-16白色背景.png,1
2,last_stand,遗物1-16.png,遗物1-16白色背景.png,2
3,dynamo_needle,遗物1-16.png,遗物1-16白色背景.png,3
4,resonance_harp,遗物1-16.png,遗物1-16白色背景.png,4
5,duelist_glove,遗物1-16.png,遗物1-16白色背景.png,5
6,victory_drum,遗物1-16.png,遗物1-16白色背景.png,6
7,first_spark,遗物1-16.png,遗物1-16白色背景.png,7
8,frontline_plate,遗物1-16.png,遗物1-16白色背景.png,8
9,backline_scope,遗物1-16.png,遗物1-16白色背景.png,9
10,bulwark_rune,遗物1-16.png,遗物1-16白色背景.png,10
11,executioner_sigil,遗物1-16.png,遗物1-16白色背景.png,11
12,vengeance_spark,遗物1-16.png,遗物1-16白色背景.png,12
13,compound_core,遗物1-16.png,遗物1-16白色背景.png,13
14,arcane_core,遗物1-16.png,遗物1-16白色背景.png,14
15,arcane_prism,遗物1-16.png,遗物1-16白色背景.png,15
16,guardian_oath,遗物1-16.png,遗物1-16白色背景.png,16
17,mirage_cloak,遗物17-32.png,遗物17-32白色背景.png,1
18,opening_tome,遗物17-32.png,遗物17-32白色背景.png,2
19,mercy_censer,遗物17-32.png,遗物17-32白色背景.png,3
20,spoils_ledger,遗物17-32.png,遗物17-32白色背景.png,4
21,battle_banner,遗物17-32.png,遗物17-32白色背景.png,5
22,investment_ledger,遗物17-32.png,遗物17-32白色背景.png,6
23,soul_lantern,遗物17-32.png,遗物17-32白色背景.png,7
24,broken_fang,遗物17-32.png,遗物17-32白色背景.png,8
25,old_coin_pouch,遗物17-32.png,遗物17-32白色背景.png,9
26,star_crown,遗物17-32.png,遗物17-32白色背景.png,10
27,healing_bell,遗物17-32.png,遗物17-32白色背景.png,11
28,mage_lens,遗物17-32.png,遗物17-32白色背景.png,12
29,soul_ember,遗物17-32.png,遗物17-32白色背景.png,13
30,hunter_mark,遗物17-32.png,遗物17-32白色背景.png,14
31,goldhunter_contract,遗物17-32.png,遗物17-32白色背景.png,15
32,piercing_whetstone,遗物17-32.png,遗物17-32白色背景.png,16
33,bloodglass_charm,遗物33-43.png,遗物33-43白色背景.png,1
34,vitality_trophy,遗物33-43.png,遗物33-43白色背景.png,2
35,crown_of_greed,遗物33-43.png,遗物33-43白色背景.png,3
36,bounty_dagger,遗物33-43.png,遗物33-43白色背景.png,4
37,golden_armor_contract,遗物33-43.png,遗物33-43白色背景.png,5
38,steel_formation,遗物33-43.png,遗物33-43白色背景.png,6
39,iron_armor_badge,遗物33-43.png,遗物33-43白色背景.png,7
40,sharp_edge,遗物33-43.png,遗物33-43白色背景.png,8
41,gravebone_charm,遗物33-43.png,遗物33-43白色背景.png,9
42,blood_pendant,遗物33-43.png,遗物33-43白色背景.png,10
43,golden_charm,遗物33-43.png,遗物33-43白色背景.png,11
